Feature,RF_Importance,Permutation_Loss_Increase,RF_Rank,Permutation_Rank,RF_R2,ResMLP_R2
TAU_conf_calc_avg,0.003352645764842696,0.0002415180206298828,35.0,56.0,0.8080483084162947,0.7947239565544334
POHM_diff2,0.0021361452221452678,0.00023272261023521423,50.0,57.0,0.8080483084162947,0.7947239565544334
DELTA_BOTTOM_avg,0.004155365275738167,0.00019833818078041077,27.0,58.0,0.8080483084162947,0.7947239565544334
P_baratron_mid_avg,0.0023840728545111976,0.00019299983978271484,47.0,59.0,0.8080483084162947,0.7947239565544334
IPLA_diff2,0.0017120547627109334,0.00018739700317382812,55.0,60.0,0.8080483084162947,0.7947239565544334
BETAP_diff2,0.0012057161942786957,0.00018442422151565552,69.0,61.0,0.8080483084162947,0.7947239565544334
Q95_diff1,0.0017778556288281222,0.00014301389455795288,53.0,62.0,0.8080483084162947,0.7947239565544334
Ne_core_avg_avg,0.008816329176158018,8.947774767875671e-05,13.0,63.0,0.8080483084162947,0.7947239565544334
BETAN_diff1,0.002091951616641823,8.624792098999023e-05,51.0,64.0,0.8080483084162947,0.7947239565544334
NEavg_avg,0.010177299891131981,8.357316255569458e-05,11.0,65.0,0.8080483084162947,0.7947239565544334
TAU_conf_avg,0.001641722039983498,7.410719990730286e-05,58.0,66.0,0.8080483084162947,0.7947239565544334
BZERO,0.0036472603745699235,7.309764623641968e-05,31.0,67.0,0.8080483084162947,0.7947239565544334
PD_diff2,0.001166382852384401,4.757195711135864e-05,71.0,68.0,0.8080483084162947,0.7947239565544334
Wth_diff1,0.0016316574668705063,1.652538776397705e-05,59.0,69.0,0.8080483084162947,0.7947239565544334
BZERO_avg,0.004428328509357295,1.117214560508728e-05,24.0,70.0,0.8080483084162947,0.7947239565544334
P_baratron_mid_diff2,0.0017037523088307583,-1.1179596185684204e-05,56.0,71.0,0.8080483084162947,0.7947239565544334
KAPPA,0.002670492721027593,-4.550069570541382e-05,43.0,72.0,0.8080483084162947,0.7947239565544334
ECRH,0.0002355092056634822,-5.447119474411011e-05,75.0,73.0,0.8080483084162947,0.7947239565544334
KAPPA_avg,0.002263562160286903,-0.00019256770610809326,49.0,74.0,0.8080483084162947,0.7947239565544334
Ne_core_avg,0.018833340834362132,-0.0002857111394405365,7.0,75.0,0.8080483084162947,0.7947239565544334
EvenN_diff1,0.002005831606598701,-0.0003131888806819916,52.0,76.0,0.8080483084162947,0.7947239565544334
NEavg,0.013948684444087311,-0.00042970478534698486,9.0,77.0,0.8080483084162947,0.7947239565544334
