Feature,RF_Importance,Permutation_Loss_Increase,RF_Rank,Permutation_Rank,RF_R2,ResMLP_R2
Ne_core_avg_diff2,0.0013449013523256059,0.001962140202522278,74.0,25.0,0.6348589579758079,0.5556019242855175
TAU_conf_calc_avg,0.013918375146788016,0.0015303939580917358,10.0,26.0,0.6348589579758079,0.5556019242855175
Ne_edge_avg,0.005010496067064756,0.0015201419591903687,34.0,27.0,0.6348589579758079,0.5556019242855175
Wth,0.0023520058397962017,0.0013200044631958008,63.0,28.0,0.6348589579758079,0.5556019242855175
Wth_diff2,0.0016763265801128823,0.0012346059083938599,72.0,29.0,0.6348589579758079,0.5556019242855175
TAU_conf_diff2,0.0020975386240610194,0.0011950433254241943,65.0,30.0,0.6348589579758079,0.5556019242855175
EvenN,0.0028060724724083387,0.0011587738990783691,55.0,31.0,0.6348589579758079,0.5556019242855175
TAU_conf,0.006651566434140513,0.001108616590499878,24.0,32.0,0.6348589579758079,0.5556019242855175
PD_diff1,0.01623019772801045,0.001040920615196228,7.0,33.0,0.6348589579758079,0.5556019242855175
POHM_diff2,0.0027880748372701796,0.0009454041719436646,56.0,34.0,0.6348589579758079,0.5556019242855175
PD_avg,0.01480567561207317,0.0009023994207382202,8.0,35.0,0.6348589579758079,0.5556019242855175
NBI2_diff2,8.877169762748806e-06,0.0008889585733413696,76.0,36.0,0.6348589579758079,0.5556019242855175
KAPPA,0.005349814360929964,0.0008227378129959106,31.0,37.0,0.6348589579758079,0.5556019242855175
EvenN_avg,0.0032333652093585255,0.000802457332611084,51.0,38.0,0.6348589579758079,0.5556019242855175
SXRcore,0.004051535434683404,0.0007905662059783936,44.0,39.0,0.6348589579758079,0.5556019242855175
Q95_diff1,0.004250711241488497,0.0007529407739639282,41.0,40.0,0.6348589579758079,0.5556019242855175
EvenN_diff2,0.0020628083616082795,0.0007285922765731812,66.0,41.0,0.6348589579758079,0.5556019242855175
Ne_edge_avg_diff2,0.0018057556848782897,0.0007209032773971558,71.0,42.0,0.6348589579758079,0.5556019242855175
NEavg_diff2,0.001544196850286326,0.0007141977548599243,73.0,43.0,0.6348589579758079,0.5556019242855175
PD,0.009890473225771874,0.0007037520408630371,15.0,44.0,0.6348589579758079,0.5556019242855175
TAU_conf_calc_diff1,0.0030563102737734406,0.0006027519702911377,52.0,45.0,0.6348589579758079,0.5556019242855175
Ne_core_avg_diff1,0.002488855775684982,0.0005705654621124268,61.0,46.0,0.6348589579758079,0.5556019242855175
TAU_conf_calc,0.009040539782369928,0.0005650818347930908,17.0,47.0,0.6348589579758079,0.5556019242855175
DELTA_BOTTOM_avg,0.010516114548000418,0.0005535781383514404,14.0,48.0,0.6348589579758079,0.5556019242855175
ECRH,0.0010961631450396086,0.0005046725273132324,75.0,49.0,0.6348589579758079,0.5556019242855175
