shot,time_s,time_ms,ts_core_density,interf_core_density,log10_diff,reason
56339,0.36733999848365784,367.33999848365784,2.5484497756520574,0.2465817003252777,1.0143152360478758,Factor of 10.3 difference
56339,0.38433998823165894,384.33998823165894,2.5564063241431922,0.10630501042120294,1.3810761488618235,Factor of 24.0 difference
56933,1.300339937210083,1300.339937210083,3.6868723640528915,0.020628550970035405,2.252189380507975,Factor of 178.7 difference
56933,1.3173400163650513,1317.3400163650513,2.766352071141891,0.267537512341386,1.0145227670312107,Factor of 10.3 difference
56933,1.33433997631073,1334.33997631073,3.342721014916274,0.16674596861792748,1.3020447888117737,Factor of 20.0 difference
56933,1.3503400087356567,1350.3400087356567,2.979713722442749,-0.08651241985975255,0.0,Non-positive value (TS <= 0 or Interf <= 0)
56933,1.3673399686813354,1367.3399686813354,1.6230767304399463,-0.1185102010928595,0.0,Non-positive value (TS <= 0 or Interf <= 0)
56933,1.400339961051941,1400.339961051941,2.891882556342157,-0.007441582314120806,0.0,Non-positive value (TS <= 0 or Interf <= 0)
56933,1.4673399925231934,1467.3399925231934,3.7983208321393223,0.3422117241510953,1.0452967610704713,Factor of 11.1 difference
56933,1.484339952468872,1484.339952468872,3.4379805077697134,0.18242501817390858,1.2752190118588236,Factor of 18.8 difference
56933,1.5343400239944458,1534.3400239944458,3.5195431243897386,0.20681101784687575,1.2309126188560002,Factor of 17.0 difference
56933,1.550339937210083,1550.339937210083,3.1383887126321923,-0.22066026015191204,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.2673399448394775,1267.3399448394775,9.236190285206778,-0.628263143134462,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.2843400239944458,1284.3400239944458,7.800060093947195,-2.401811902523192,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.300339937210083,1300.339937210083,8.306267127608674,-2.282823853676901,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.3173400163650513,1317.3400163650513,9.437867306410352,-2.0017658117754977,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.33433997631073,1334.33997631073,7.850429388059972,-1.2972650612477918,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.3503400087356567,1350.3400087356567,9.092339123680642,-5.2515613237651175,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.3673399686813354,1367.3399686813354,10.001425504861016,-5.033938505716623,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.3843400478363037,1384.3400478363037,8.691060372703774,-5.105549258229023,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.400339961051941,1400.339961051941,9.240322946635567,-4.699561626547153,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.4173400402069092,1417.3400402069092,9.463369219917002,-4.990515712903191,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.434340000152588,1434.340000152588,8.300544866253478,-4.837124165126115,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.4503400325775146,1450.3400325775146,7.645634003243651,-4.601625487033237,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.4673399925231934,1467.3399925231934,7.780680333656398,-4.575506808217744,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.484339952468872,1484.339952468872,5.90718326811806,-4.58987874460673,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.5003399848937988,1500.3399848937988,6.801506671947399,-4.4884105339397475,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.5173399448394775,1517.3399448394775,7.658432692451133,-4.819254902151499,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.5343400239944458,1534.3400239944458,6.556947826823424,-4.915565963479561,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.550339937210083,1550.339937210083,6.836857671011792,-4.956537724972355,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.5673400163650513,1567.3400163650513,7.513206809448717,-4.72565831513009,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.58433997631073,1584.33997631073,6.351439158925384,-4.895130440365716,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.6003400087356567,1600.3400087356567,6.948585776209948,-4.5054155807749305,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.6173399686813354,1617.3399686813354,8.513885826002113,-4.622377229691231,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.6343400478363037,1634.3400478363037,6.362502480915845,-4.478275675559559,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.650339961051941,1650.339961051941,6.986445176013229,-4.44889496564678,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.6673400402069092,1667.3400402069092,8.517250071845059,-3.9570332768123486,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.684340000152588,1684.340000152588,6.776017465937108,-4.402366272387207,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.7003400325775146,1700.3400325775146,7.309112659688289,-4.128244829443116,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.7173399925231934,1717.3399925231934,9.159874329594091,-3.8092804644671587,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.734339952468872,1734.339952468872,6.83420259692326,-4.063605860260118,0.0,Non-positive value (TS <= 0 or Interf <= 0)
65564,1.7503399848937988,1750.3399848937988,7.712115718445217,-3.910859945710872,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.017340000718832016,17.340000718832016,1.3024430692385514,-66.83715505049399,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.05079000070691109,50.79000070691109,1.5920401044419799,-62.245284870427035,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.06734000146389008,67.34000146389008,2.1732589413644816,-62.65794829690811,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.08433999866247177,84.33999866247177,2.9480477416029434,-47.80531246113321,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.10079000145196915,100.79000145196915,4.075522062305132,-40.68480830934887,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.11733999848365784,117.33999848365784,4.622296057561826,-28.05800446143905,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.13434000313282013,134.34000313282013,5.7273945373304445,-38.42272762213926,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.1507900059223175,150.7900059223175,6.245173458659339,-25.675851826820494,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.1673399955034256,167.3399955034256,6.276794084265283,-31.211328163500628,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.1843400001525879,184.3400001525879,7.176727920310402,-29.182474123556265,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.20079000294208527,200.79000294208527,7.27387250797723,-38.56277549680165,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.21733999252319336,217.33999252319336,7.023500324622273,-25.623949600333653,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.23433999717235565,234.33999717235565,7.340836084410839,-19.208568412707173,0.0,Non-positive value (TS <= 0 or Interf <= 0)
79351,0.250789999961853,250.78999996185303,7.899520190933084,-24.422508846616306,0.0,Non-positive value (TS <= 0 or Interf <= 0)
