species,model,pedestal_samples,slope_score_threshold,median_nrmse,p90_nrmse,median_r2,median_pred_true_slope_ratio,median_abs_log_slope_error,slope_ratio_within_0.5_to_1.5_fraction,slope_location_error_le_0.025_fraction
Te,v11,3394,3.0842230608423136,0.03425573580453896,0.08185456269091039,0.9913210755136503,0.7888565800784376,0.3022941818610436,0.7598703594578669,0.8067177371832646
Te,v12,3394,3.0842230608423136,0.034535714828450755,0.08177640513227806,0.9913519402173436,0.8117301865407924,0.2652888984677224,0.784325279905716,0.8520919269298762
Ne,v11,3394,11.38887346642808,0.05374306320155634,0.12984498088411936,0.9786996257344032,0.6029650584259847,0.5062998368321096,0.6234531526222746,0.9363582793164408
Ne,v12,3394,11.38887346642808,0.05637063818181075,0.13854468882446488,0.97610117033414,0.7832187659368701,0.28004894118407075,0.7802003535651149,0.9307601649970536
