epoch,train_loss,val_loss,learning_rate
1,1.711047538552545,1.4531201682107062,0.0001
2,1.39520810776777,1.362935138585133,0.0001
3,0.8649323640941308,0.39047446839343186,0.0001
4,0.3991067469755356,0.3658072828198249,0.0001
5,0.3711519352448561,0.3566472361191121,0.0001
6,0.34178497702545807,0.3216577865387363,0.0001
7,0.30532373809921654,0.2886687693242815,0.0001
8,0.2793096825673828,0.27031180255681164,0.0001
9,0.260194021217915,0.2618485848138913,0.0001
10,0.24683943652312113,0.24798663703177828,0.0001
11,0.23627534320802826,0.2408369172378357,0.0001
12,0.22795584417514642,0.2337209193926521,0.0001
13,0.22123264652093327,0.23250586799762046,0.0001
14,0.21608869822897253,0.23262374989189732,0.0001
15,0.2116368034856811,0.22608769562876904,0.0001
16,0.20701923604779085,0.22336854321921312,0.0001
17,0.2036734423959184,0.2217703573606539,0.0001
18,0.20072435788080178,0.21979874281148604,0.0001
19,0.19696302859879736,0.21756205085548985,0.0001
20,0.19389257867822476,0.21489741357608655,0.0001
21,0.19133737368605905,0.21502601663990017,0.0001
22,0.1886572085708783,0.21169381495872108,0.0001
23,0.1864738205140168,0.21173362294982181,0.0001
24,0.18456497827645907,0.21066853950716283,0.0001
25,0.18238487081480131,0.2117523706759385,0.0001
26,0.18048861123781137,0.20839353526406335,0.0001
27,0.1795496159698406,0.20895011897309895,0.0001
28,0.17695457054826436,0.20871069849549,0.0001
29,0.1756976246622973,0.20914018840707474,0.0001
30,0.17420999338031948,0.2074891879338114,0.0001
31,0.17287720403124135,0.20608040439277345,0.0001
32,0.17136999075730125,0.2066098674055529,0.0001
33,0.17040724551788317,0.20578308648211202,0.0001
34,0.16902156391872783,0.204676398782146,0.0001
35,0.16790283144568546,0.20656485651432505,0.0001
36,0.16684985759256574,0.20582039795294332,0.0001
37,0.16579842834251554,0.206307233321706,0.0001
38,0.16460209906642395,0.20200681766444564,0.0001
39,0.1638880027468015,0.20353965185600767,0.0001
40,0.1628271268092717,0.20329160160223372,0.0001
41,0.16157878798246952,0.20316316769622578,0.0001
42,0.16081264870820755,0.20340487349113032,0.0001
43,0.16010603287148614,0.2028620554658099,5e-05
44,0.15813596958709264,0.19993508619196912,5e-05
45,0.15713164731168824,0.20087206460152063,5e-05
46,0.15641347893368884,0.1999639115582095,5e-05
47,0.15605466085329828,0.20057082728341336,5e-05
48,0.15558205580841122,0.20078105487487746,5e-05
49,0.15492616717786653,0.19974791081161272,5e-05
50,0.1551209728602296,0.20054362691250663,5e-05
51,0.154492731305155,0.20005310342901314,5e-05
52,0.15387510971364418,0.2005188504882988,5e-05
53,0.15343288497045038,0.20124205879867765,5e-05
54,0.15298458863105782,0.1992201875909834,5e-05
55,0.15257923943721427,0.19867721254560053,5e-05
56,0.15271106362976614,0.19943604688142194,5e-05
57,0.15180918688730163,0.1985162500334861,5e-05
58,0.15127080550890745,0.19923096323487324,5e-05
59,0.15106222141230038,0.19867754663553677,5e-05
60,0.1508595367850942,0.19927939834795422,5e-05
61,0.15045209680656466,0.19908895690082332,5e-05
62,0.1499930905737741,0.19833788221882295,5e-05
63,0.15023967710602923,0.19963523930407218,5e-05
64,0.14944025732753594,0.19737887400865856,5e-05
65,0.1490814434986333,0.19767607273481447,5e-05
66,0.148801200353046,0.19766432888766625,5e-05
67,0.1486409184199223,0.19858052453061917,5e-05
68,0.14811671689459646,0.19844429799611352,5e-05
69,0.14766271844285994,0.19816704074582728,2.5e-05
70,0.14690194700631407,0.1977481056722696,2.5e-05
71,0.14651254773676983,0.19809380533280907,2.5e-05
72,0.1462911880588564,0.1977369468344199,2.5e-05
73,0.1461472510267758,0.19731113425973096,2.5e-05
74,0.14602683978435685,0.1982444797838994,2.5e-05
75,0.14569941369092715,0.19691699847547334,2.5e-05
76,0.1458151198012564,0.1965388072843411,2.5e-05
77,0.14533437869390214,0.19734881030346346,2.5e-05
78,0.14551983430472157,0.19730280194547775,2.5e-05
79,0.14550486054513556,0.19757715964605918,2.5e-05
80,0.14501745654614345,0.19730534124020804,2.5e-05
81,0.14520670467755178,0.19775113639919076,1.25e-05
82,0.14464814817826166,0.19705715953429875,1.25e-05
83,0.14413373662568846,0.19690435344977106,1.25e-05
84,0.14437542699907752,0.1964393834653654,1.25e-05
85,0.14394981725982633,0.19669405759807349,1.25e-05
86,0.14397288915122183,0.19677931231882836,1.25e-05
87,0.14389384585326348,0.1968621867916973,1.25e-05
88,0.14382502265226732,0.19656919151343544,1.25e-05
89,0.1438459342577555,0.1971413256749031,6.25e-06
90,0.143323611458085,0.196574459148499,6.25e-06
91,0.14350216164818289,0.1968486900953523,6.25e-06
92,0.1435332972097607,0.19683206955072904,6.25e-06
93,0.14310430032360244,0.1969402337422541,6.25e-06
94,0.14291681566559958,0.19678133691514163,3.125e-06
95,0.14310262610175908,0.1966655736587565,3.125e-06
96,0.14331074829658025,0.1966749261694656,3.125e-06
97,0.1432406521404102,0.19666176005382352,3.125e-06
98,0.14282533832820038,0.196725673333995,3.125e-06
99,0.14297654418129752,0.19664756118173604,1.5625e-06
100,0.14271857613042996,0.1966768829553294,1.5625e-06
