epoch,train_loss,val_loss,learning_rate
1,1.7302431938866698,1.529126744963249,0.0001
2,1.3823386618204199,1.4028390257110417,0.0001
3,1.344659653416647,1.3728740579332839,0.0001
4,0.954684658247117,0.6319575584231825,0.0001
5,0.5454274950169887,0.44248141094968335,0.0001
6,0.44188545030773024,0.4130612570220683,0.0001
7,0.41294449783770903,0.4010121830021865,0.0001
8,0.39233929643466914,0.3913851641539625,0.0001
9,0.3732137605448958,0.3784617119272456,0.0001
10,0.35599175583877835,0.3688669126031837,0.0001
11,0.3400279914373487,0.35887158732508684,0.0001
12,0.32761921172756375,0.35380081300286864,0.0001
13,0.317340199291301,0.3482455007146048,0.0001
14,0.3084326943480711,0.337268767432014,0.0001
15,0.30009512210146405,0.33378449479286026,0.0001
16,0.29286765912400986,0.32915131036926176,0.0001
17,0.2865740282499316,0.3250832437140693,0.0001
18,0.28044614727440736,0.32222688109876857,0.0001
19,0.2754434550999074,0.3166096488363651,0.0001
20,0.26989273916724404,0.3150841861552041,0.0001
21,0.2652348905624056,0.3126764546766674,0.0001
22,0.2607356323958037,0.30998115378619895,0.0001
23,0.2563519864481301,0.3064552216700287,0.0001
24,0.25263675809412545,0.3067123079710607,0.0001
25,0.25006186605426944,0.301000124747651,0.0001
26,0.24661584942465867,0.3020810210710678,0.0001
27,0.24314552910552015,0.3010053007662981,0.0001
28,0.24066743251712552,0.30117676948193545,0.0001
29,0.23792951939707574,0.29899794017049214,0.0001
30,0.23497245397678038,0.29673577954674074,0.0001
31,0.2325553867236736,0.2957084558973704,0.0001
32,0.23087677808451199,0.29676046817356566,0.0001
33,0.22797964233145998,0.2934879334109078,0.0001
34,0.22591817201041928,0.2923150338590738,0.0001
35,0.22432291788006142,0.29148137530874574,0.0001
36,0.22203136772900087,0.2903219896120584,0.0001
37,0.22088401883658706,0.28917981712066987,0.0001
38,0.2183608993359796,0.2870400184073858,0.0001
39,0.21763861108549723,0.288844684306932,0.0001
40,0.2151981567009588,0.2878382113137809,0.0001
41,0.21403576901270532,0.28795493581141024,0.0001
42,0.21281330764859674,0.2859360064145312,0.0001
43,0.21128634494132853,0.2874297022467953,0.0001
44,0.20984245887850927,0.28509233950160506,0.0001
45,0.2087241226064374,0.28346603620266947,0.0001
46,0.20733244185458785,0.28464036691334577,0.0001
47,0.20601619093662393,0.2843523693598021,0.0001
48,0.20479267538795434,0.28587981166598775,0.0001
49,0.2034085784738153,0.2847581742063523,0.0001
50,0.2025501371363587,0.2810379888225675,0.0001
51,0.20099166339076727,0.2804128941704209,0.0001
52,0.1998636519058504,0.28255435219893676,0.0001
53,0.19884929903162585,0.28160637156633334,0.0001
54,0.1981992066421049,0.28060414705134173,0.0001
55,0.19701721901956248,0.2811663175862813,0.0001
56,0.19589888301012057,0.27879446408315145,0.0001
57,0.19516899076771493,0.27720662013853314,0.0001
58,0.1942686639192689,0.2785994929666569,0.0001
59,0.19292028101907316,0.2786161791783711,0.0001
60,0.1922663964142116,0.2793592318367425,0.0001
61,0.1912242446318158,0.275405455367483,0.0001
62,0.1899865610799202,0.2784880313115965,0.0001
63,0.19008636101702017,0.27608719720018765,0.0001
64,0.18846099474430353,0.2770238051485684,0.0001
65,0.18814040140284088,0.2767630911456847,0.0001
66,0.18719156653197813,0.2756079955785346,5e-05
67,0.184898200561633,0.2753307441722279,5e-05
68,0.183653879029012,0.27486165720012157,5e-05
69,0.18275465640761016,0.2745590377831351,5e-05
70,0.18277048180554387,0.27599625794575156,5e-05
71,0.1820095952529458,0.2743835462156925,5e-05
72,0.1817668035080392,0.27640979051421066,5e-05
73,0.18206308619245537,0.27434159876399444,5e-05
74,0.1809475143552701,0.274050284497536,5e-05
75,0.18064601461444615,0.27274479060997037,5e-05
76,0.1800446855130401,0.27482590923272204,5e-05
77,0.17994994659915206,0.2734517507381522,5e-05
78,0.17987626572178728,0.2732026341717497,5e-05
79,0.1795420232076917,0.2731578384147458,5e-05
80,0.1791316549966173,0.2726592362922065,5e-05
81,0.17864658268963393,0.27400682377708585,5e-05
82,0.17839225521347946,0.2729940043255918,5e-05
83,0.1779612630524988,0.27265625457522147,5e-05
84,0.17753645344870594,0.2747764006772473,5e-05
85,0.17677640693717067,0.27256708793362994,5e-05
86,0.17696547065241688,0.27229942925414125,5e-05
87,0.1762768390031085,0.272612823321821,5e-05
88,0.17599294272798457,0.2725814096339325,5e-05
89,0.17594727729908655,0.2730040105567643,5e-05
90,0.17505652367110525,0.2727440893094709,5e-05
91,0.1754103453655159,0.2733568817560217,2.5e-05
92,0.17365219065761414,0.2739384398690476,2.5e-05
93,0.17384669662333666,0.2737013106176571,2.5e-05
94,0.17337423035363753,0.272566098851443,2.5e-05
95,0.1731040879249908,0.27293698982294234,2.5e-05
96,0.17288110371506493,0.27235483031035035,1.25e-05
97,0.17240400879511208,0.2725728323126822,1.25e-05
98,0.1720385382358015,0.27217314428930584,1.25e-05
99,0.1721290998711256,0.2723343793985368,1.25e-05
100,0.17175608806633047,0.2729319566316063,1.25e-05
